gender,age,resident_type,cyber_awareness,password_strength,antivirus,socialmedia,occupation,internet_usage,cybercrime_victim,crime,found_solution,reported_crime,not_repoted_reason
F,13,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,NO,WAS AFRAID
F,14,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,NO,WAS AFRAID
F,15,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,NO,WAS AFRAID
F,16,CITY,YES,WEAK,NO,YES,STUDENT,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,NO,WAS AFRAID
F,17,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,18,CITY,YES,STRONG,YES,YES,STUDENT,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,21,CITY,YES,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,22,CITY,YES,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,23,CITY,YES,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,PHISHING,NO,YES,DON’T KNOW HOW TO REPORT
F,24,CITY,YES,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,DON’T KNOW HOW TO REPORT
F,25,CITY,YES,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,DON’T KNOW HOW TO REPORT
F,26,CITY,YES,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,DON’T KNOW HOW TO REPORT
F,27,CITY,YES,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,DON’T KNOW HOW TO REPORT
F,28,CITY,YES,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,DON’T KNOW HOW TO REPORT
F,29,CITY,YES,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,PHISHING,NO,NO,DON’T KNOW HOW TO REPORT
F,30,CITY,YES,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,PHISHING,YES,YES,DON’T KNOW HOW TO REPORT
F,21,CITY,YES,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,PHISHING,YES,YES,DON’T KNOW HOW TO REPORT
F,22,CITY,YES,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,PHISHING,YES,YES,DON’T KNOW HOW TO REPORT
F,23,CITY,YES,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,PHISHING,YES,YES,DON’T KNOW HOW TO REPORT
F,24,CITY,YES,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,PHISHING,YES,YES,DON’T KNOW HOW TO REPORT
F,25,CITY,YES,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,CYBER BULLYING,YES,YES,DON’T KNOW HOW TO REPORT
F,26,CITY,YES,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,CYBER BULLYING,YES,YES,DON’T KNOW HOW TO REPORT
F,27,CITY,YES,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,CYBER BULLYING,YES,YES,DON’T KNOW HOW TO REPORT
F,28,CITY,YES,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,CYBER BULLYING,YES,YES,DON’T KNOW HOW TO REPORT
F,29,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,CYBER BULLYING,YES,YES,DON’T KNOW HOW TO REPORT
F,30,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,CYBER BULLYING,NO,YES,DON’T KNOW HOW TO REPORT
F,21,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,CYBER BULLYING,NO,YES,DON’T KNOW HOW TO REPORT
F,22,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,CYBER BULLYING,NO,YES,DON’T KNOW HOW TO REPORT
F,23,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,CYBER BULLYING,NO,YES,DON’T KNOW HOW TO REPORT
F,24,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,25,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,26,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,27,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,28,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,29,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,30,CITY,YES,WEAK,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,21,CITY,YES,WEAK,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,22,CITY,YES,WEAK,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,23,CITY,YES,WEAK,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,24,CITY,YES,WEAK,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,25,CITY,YES,WEAK,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,NO,WAS AFRAID
F,26,CITY,YES,WEAK,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,NO,WAS AFRAID
F,27,CITY,YES,WEAK,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,NO,WAS AFRAID
F,28,CITY,YES,WEAK,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,NO,WAS AFRAID
F,29,CITY,YES,WEAK,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,NO,WAS AFRAID
F,30,CITY,YES,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,NO,WAS AFRAID
F,21,CITY,YES,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,NO,WAS AFRAID
F,22,CITY,YES,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,NO,WAS AFRAID
F,23,CITY,YES,STRONG,YES,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,NO,WAS AFRAID
F,24,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,NO,WAS AFRAID
F,25,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,NO,DON’T KNOW HOW TO REPORT
F,26,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,PSYCO/PEVERT,NO,NO,DON’T KNOW HOW TO REPORT
F,27,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,PSYCO/PEVERT,NO,NO,DON’T KNOW HOW TO REPORT
F,28,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,NO,DON’T KNOW HOW TO REPORT
F,29,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,NO,DON’T KNOW HOW TO REPORT
F,30,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,NO,DON’T KNOW HOW TO REPORT
F,21,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,NO,DON’T KNOW HOW TO REPORT
F,22,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,NO,DON’T KNOW HOW TO REPORT
F,23,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,YES,NO,DON’T KNOW HOW TO REPORT
F,24,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,YES,NO,WAS AFRAID
F,25,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,YES,NO,WAS AFRAID
F,26,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,YES,NO,WAS AFRAID
F,27,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,CYBER BULLYING,YES,NO,WAS AFRAID
F,28,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,CYBER BULLYING,YES,NO,WAS AFRAID
F,29,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,CYBER BULLYING,YES,NO,WAS AFRAID
F,30,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,CYBER BULLYING,YES,NO,WAS AFRAID
F,21,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,CYBER BULLYING,YES,NO,WAS AFRAID
F,22,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,CYBER BULLYING,YES,NO,WAS AFRAID
F,23,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,CYBER BULLYING,NO,NO,WAS AFRAID
F,24,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,CYBER BULLYING,NO,NO,WAS AFRAID
F,25,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,CYBER BULLYING,NO,NO,WAS AFRAID
F,26,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,NO,WAS AFRAID
F,27,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,MONEY THEFT,YES,NO,WAS AFRAID
F,28,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,NO,WAS AFRAID
F,29,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,NO,DON’T KNOW HOW TO REPORT
F,30,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,NO,DON’T KNOW HOW TO REPORT
F,21,CITY,YES,WEAK,YES,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,NO,DON’T KNOW HOW TO REPORT
F,22,CITY,YES,WEAK,YES,YES,SELF EMPLOYED,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,YES,DON’T KNOW HOW TO REPORT
F,23,CITY,YES,WEAK,YES,YES,GOV/IT EMPLOYEE,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,YES,DON’T KNOW HOW TO REPORT
F,24,CITY,YES,WEAK,YES,YES,GOV/IT EMPLOYEE,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,YES,DON’T KNOW HOW TO REPORT
F,25,CITY,YES,WEAK,YES,YES,GOV/IT EMPLOYEE,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,YES,DON’T KNOW HOW TO REPORT
F,26,CITY,YES,WEAK,YES,YES,GOV/IT EMPLOYEE,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,YES,DON’T KNOW HOW TO REPORT
F,27,CITY,YES,WEAK,YES,YES,GOV/IT EMPLOYEE,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,YES,DON’T KNOW HOW TO REPORT
F,28,CITY,YES,WEAK,YES,YES,GOV/IT EMPLOYEE,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,29,CITY,YES,WEAK,YES,YES,GOV/IT EMPLOYEE,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,30,CITY,YES,WEAK,YES,YES,GOV/IT EMPLOYEE,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,21,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,LESS THAN 1 HOUR,YES,MONEY THEFT,YES,YES,DON’T KNOW HOW TO REPORT
F,22,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,LESS THAN 1 HOUR,YES,MONEY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,23,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,MONEY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,24,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,MONEY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,25,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,MONEY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,26,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,MONEY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,27,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,28,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,29,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,30,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,21,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,22,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,23,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,24,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,25,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,26,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,MONEY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,27,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,MONEY THEFT,NO,NO,WAS AFRAID
F,28,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,MONEY THEFT,NO,NO,WAS AFRAID
F,29,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,CYBER BULLYING,NO,NO,WAS AFRAID
F,30,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,CYBER BULLYING,NO,NO,WAS AFRAID
F,21,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,CYBER BULLYING,NO,NO,WAS AFRAID
F,22,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,CYBER BULLYING,NO,NO,WAS AFRAID
F,23,CITY,YES,WEAK,NO,YES,UN EMPLOYED,GREATER THAN 3 HOURS,YES,CYBER BULLYING,NO,NO,WAS AFRAID
F,24,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,CYBER BULLYING,NO,NO,WAS AFRAID
F,25,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,CYBER BULLYING,NO,NO,WAS AFRAID
F,26,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,CYBER BULLYING,NO,NO,WAS AFRAID
F,27,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,CYBER BULLYING,NO,NO,WAS AFRAID
F,28,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,MONEY THEFT,NO,NO,WAS AFRAID
F,29,CITY,YES,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,MONEY THEFT,NO,NO,WAS AFRAID
F,30,CITY,NO,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,MONEY THEFT,YES,NO,WAS AFRAID
F,21,CITY,NO,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,YES,NO,WAS AFRAID
F,22,CITY,NO,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,YES,NO,WAS AFRAID
F,23,CITY,NO,WEAK,NO,YES,UN EMPLOYED,2-3 HOURS,YES,SEXUAL EXPLOITATION,YES,NO,WAS AFRAID
F,24,CITY,NO,WEAK,NO,YES,UN EMPLOYED,2-3 HOURS,YES,SEXUAL EXPLOITATION,YES,NO,WAS AFRAID
F,25,CITY,NO,WEAK,NO,YES,UN EMPLOYED,2-3 HOURS,YES,SEXUAL EXPLOITATION,YES,NO,WAS AFRAID
F,26,CITY,NO,WEAK,NO,YES,UN EMPLOYED,2-3 HOURS,YES,SEXUAL EXPLOITATION,YES,NO,WAS AFRAID
F,27,CITY,NO,WEAK,NO,YES,UN EMPLOYED,2-3 HOURS,YES,SEXUAL EXPLOITATION,YES,NO,WAS AFRAID
F,28,CITY,NO,WEAK,NO,YES,UN EMPLOYED,2-3 HOURS,YES,SEXUAL EXPLOITATION,YES,NO,WAS AFRAID
F,29,CITY,NO,WEAK,NO,YES,UN EMPLOYED,2-3 HOURS,YES,SEXUAL EXPLOITATION,YES,NO,WAS AFRAID
F,30,CITY,NO,WEAK,NO,YES,UN EMPLOYED,2-3 HOURS,YES,MONEY THEFT,YES,NO,WAS AFRAID
F,21,CITY,NO,WEAK,NO,YES,UN EMPLOYED,2-3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,NO,WAS AFRAID
F,22,CITY,NO,WEAK,NO,YES,UN EMPLOYED,2-3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,NO,WAS AFRAID
F,23,CITY,NO,WEAK,NO,YES,UN EMPLOYED,2-3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,NO,WAS AFRAID
F,24,CITY,NO,WEAK,NO,YES,UN EMPLOYED,2-3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,NO,WAS AFRAID
F,25,CITY,NO,WEAK,NO,YES,UN EMPLOYED,2-3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,NO,WAS AFRAID
F,26,CITY,NO,STRONG,YES,YES,UN EMPLOYED,2-3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,NO,WAS AFRAID
F,27,CITY,NO,STRONG,YES,YES,UN EMPLOYED,2-3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,YES,DON’T KNOW HOW TO REPORT
F,28,CITY,NO,STRONG,YES,YES,UN EMPLOYED,2-3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,YES,DON’T KNOW HOW TO REPORT
F,29,CITY,NO,STRONG,YES,YES,UN EMPLOYED,2-3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,YES,YES,DON’T KNOW HOW TO REPORT
F,30,CITY,NO,STRONG,YES,YES,GOV/IT EMPLOYEE,2-3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,21,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,2-3 HOURS,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,22,CITY,YES,STRONG,YES,YES,GOV/IT EMPLOYEE,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,23,VILLAGE,YES,STRONG,YES,YES,STUDENT,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,24,VILLAGE,YES,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,25,VILLAGE,YES,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,26,VILLAGE,YES,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,27,VILLAGE,YES,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,ACCOUNT HACKING/IDENTITY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,28,VILLAGE,YES,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,MONEY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,29,VILLAGE,YES,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,MONEY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,30,VILLAGE,YES,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,MONEY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,21,VILLAGE,YES,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,MONEY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,22,VILLAGE,YES,WEAK,NO,YES,STUDENT,LESS THAN 1 HOUR,YES,MONEY THEFT,NO,YES,DON’T KNOW HOW TO REPORT
F,23,VILLAGE,NO,WEAK,NO,YES,STUDENT,2-3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,24,VILLAGE,NO,WEAK,NO,YES,STUDENT,2-3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,25,VILLAGE,NO,WEAK,NO,YES,STUDENT,2-3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,26,VILLAGE,NO,WEAK,NO,YES,STUDENT,2-3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,27,VILLAGE,NO,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,28,VILLAGE,NO,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,29,VILLAGE,NO,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,30,VILLAGE,NO,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,21,VILLAGE,NO,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,SEXUAL EXPLOITATION,NO,YES,DON’T KNOW HOW TO REPORT
F,22,VILLAGE,NO,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,MONEY THEFT,NO,NO,WAS AFRAID
F,23,VILLAGE,NO,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,MONEY THEFT,NO,NO,WAS AFRAID
F,24,VILLAGE,NO,WEAK,NO,YES,GOV/IT EMPLOYEE,GREATER THAN 3 HOURS,YES,MONEY THEFT,NO,NO,WAS AFRAID
